competitor,product,rating,content,source,date
경동나비엔,NCB700,3,처음엔 좋았는데 3년 지나니까 점화가 잘 안돼요. AS 신청했더니 2주 기다리라고 하네요. 그 겨울에 2주가 어디에요,,naver_blog,2024-01-15
경동나비엔,NCB700,2,설치 기사분이 너무 급하게 설치하고 가셔서 나중에 보니까 배관 연결이 좀 애매하더라고요. 하자 AS 요청했는데 자기네 문제 아니라고 하고. 진짜 답답,naver_blog,2024-01-22
경동나비엔,콘덴싱,4,난방 효율은 좋은데 소음이 생각보다 커요. 밤에 가동하면 잠이 깰 정도. 가격 대비 소음이 좀 아쉬워요,naver_blog,2024-02-03
경동나비엔,NCB700,2,AS 접수하고 기사 오는 데 10일 걸렸어요. 겨울 한복판에 10일이요. 아이들 있는 집인데 너무하다고 생각했어요,naver_blog,2024-02-11
경동나비엔,콘덴싱,5,가스비 절약 효과가 확실히 느껴지네요. 전 보일러 대비 20% 정도 줄어든 것 같아요. 만족합니다,naver_blog,2024-02-18
경동나비엔,NCB700,3,제품 자체는 괜찮은데 A/S 비용이 너무 비싸요. 기본 출장비에 부품비 따로 받고 공임비 따로 받고. 영수증 보고 놀랐어요,naver_blog,2024-03-05
경동나비엔,콘덴싱,1,구매 후 6개월만에 열교환기 문제 생겼어요. 보증 기간이라 수리는 됐는데 이게 말이 되나요. 6개월 만에,naver_blog,2024-03-12
경동나비엔,NCB700,4,IOT 기능이 편리하긴 한데 앱이 가끔 튕기고 연결이 끊겨요. UI도 좀 구식이고,naver_blog,2024-03-20
경동나비엔,콘덴싱,2,설치 후 1년도 안 됐는데 소음이 갑자기 커졌어요. 기사 왔다가 정상이라고 그냥 갔는데 정상이 이 소음이면 처음부터 소음 있었던 거 아닌가요,naver_blog,2024-04-02
경동나비엔,NCB700,3,AS 기사 분이 불친절했어요. 질문 드리니까 귀찮다는 느낌이 나서 다음부터 AS 요청하기가 꺼려지네요,naver_blog,2024-04-15
경동나비엔,콘덴싱,5,이사하면서 새로 달았는데 기존 보일러보다 확실히 따뜻해요. 특히 바닥 난방이 균일하게 돼서 좋아요,naver_blog,2024-04-22
경동나비엔,NCB700,2,보증기간 끝나자마자 고장났어요. 진짜 타이밍이 신기할 정도. 부품 구해서 고치는 데 또 시간이 걸리고,naver_blog,2024-05-08
경동나비엔,콘덴싱,3,대기 모드에서도 가끔 이상한 소리가 나요. 크게 문제는 아닌 것 같은데 신경쓰임. 기사 불러도 이상 없다고만 하고,naver_blog,2024-05-19
경동나비엔,NCB700,4,화면 UI는 깔끔한데 온도 설정이 너무 세밀하지 않아요. 1도 단위라 딱 맞는 온도 찾기가 애매해요,naver_blog,2024-06-01
경동나비엔,콘덴싱,1,AS 전화 연결이 너무 힘들어요. 성수기엔 30분 이상 대기. 이러면 뭐가 프리미엄 브랜드인지 모르겠어요,naver_blog,2024-06-14
경동나비엔,NCB700,5,에너지 효율은 확실히 좋아요. 기존 일반 보일러 쓸 때보다 가스비가 많이 줄었어요,naver_blog,2024-07-03
경동나비엔,콘덴싱,3,디자인은 예쁜데 설치 공간을 많이 차지해요. 보일러실이 작아서 설치하는 데 애먹었어요,naver_blog,2024-07-22
경동나비엔,NCB700,2,렌탈로 사용 중인데 3년 약정 끝나고 나서 관리가 소홀해졌어요. 약정 기간엔 잘 와주더니 이후엔 연락도 없고,naver_blog,2024-08-10
경동나비엔,콘덴싱,4,가격은 좀 비싸지만 내구성은 좋아요. 6년째 별 문제 없이 쓰고 있어요,naver_blog,2024-08-25
경동나비엔,NCB700,2,배기가스 냄새가 가끔 실내로 들어오는 것 같아요. 설치 잘못된 건지 제품 문제인지 기사가 와도 원인을 못 찾더라고요,naver_blog,2024-09-07
경동나비엔,콘덴싱,3,온수 나오는 속도가 좀 느려요. 수도꼭지 틀고 온수 되기까지 시간이 걸림. 작은 불편이지만 매일 쓰는 거라서,naver_blog,2024-09-20
경동나비엔,NCB700,1,설치한지 2년도 안됐는데 점화장치 교체 필요하다고 해요. 부품값이 만만치 않은데 이게 정상인가요,naver_blog,2024-10-05
경동나비엔,콘덴싱,5,정말 조용하고 효율 좋아요. 이전 거랑 비교하면 천지차이,naver_blog,2024-10-18
경동나비엔,NCB700,3,AS 센터 연결이 어렵고 기사 방문까지 오래 걸려요. 제품은 나쁘지 않은데 사후관리가 아쉬워요,naver_blog,2024-11-02
경동나비엔,콘덴싱,4,가스비 절약이 주목적이었는데 효과 있어요. 설치비가 좀 비싼 게 흠이지만,naver_blog,2024-11-15
경동나비엔,NCB700,2,겨울에 고장나면 진짜 큰일나요. 저희 집 이번에 고장나서 AS 오는 데 1주일 걸렸어요. 아이 있는 집인데 전기장판으로 버텼어요,naver_blog,2024-11-28
경동나비엔,콘덴싱,3,화면 밝기가 너무 강해서 밤에 불 끄면 보일러 화면만 빛나요. 밝기 조절 기능이 없어서 불편,naver_blog,2024-12-10
경동나비엔,NCB700,5,10년 넘게 나비엔 쓰고 있는데 이번에 새 모델로 교체했어요. 역시 믿고 쓰는 브랜드,naver_blog,2024-12-22
경동나비엔,콘덴싱,2,보증 기간 5년인 줄 알았는데 부품에 따라 다르다고 하더라고요. 설명 듣기 전까지 몰랐어요. 좀 더 명확하게 안내해줬으면 좋겠어요,naver_blog,2025-01-08
경동나비엔,NCB700,4,앱 연동은 편한데 와이파이 안 잡히면 앱으로 제어가 안돼요. 인터넷 끊겼을 때 수동으로 하려면 버튼 조작이 복잡해요,naver_blog,2025-01-20
